Car No.	School Name	Team Name	Status	Eval. Score	Final Score
61	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	36.00	36.00
88	Memorial Univ of Newfoundland	Memorial Baja	OK	36.00	36.00
2	Univ of Wisconsin - Madison	Badger Racing	OK	35.67	35.67
8	Case Western Reserve Univ	CWRU Motorsports	OK	33.92	33.92
16	Cleveland State Univ	Vikings Racing	OK	33.67	33.67
14	Pennsylvania College of Technology	PCTBaja	OK	33.33	33.33
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	33.33	33.33
65	Univ of Illinois - Chicago	UIC Motorsports	OK	33.00	33.00
77	Michigan Tech Univ	Blizzard Baja	OK	33.00	33.00
94	Univ of Rochester	Yellow Jacket Racing	OK	33.00	33.00
144	Univ of North Carolina - Charlotte	49er Racing	OK	32.67	32.67
99	McGill Univ	McGill Baja Racing	OK	32.33	32.33
52	Missouri University of Science and Tech	Miner Baja	OK	32.00	32.00
63	Johns Hopkins Univ	Blue Jay Racing	OK	32.00	32.00
111	ITESM - Campus Saltillo	NOVA Racing Team	OK	32.00	32.00
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	31.67	31.67
115	Western Michigan Univ	Bronco Racing	OK	31.67	31.67
90	Polytechnique Montréal	Poly Mud Bees	OK	31.33	31.33
5	Lehigh Univ	Lehigh Engineers	OK	31.00	31.00
171	Univ Federal do Rio Grande do Norte	Car-Kará	OK	31.00	31.00
41	Univ of Oklahoma	Sooner Off-Road	OK	30.67	30.67
29	Texas A&M Univ	12th Man Racing	OK	30.33	30.33
51	Marquette Univ	Eagle Racing	OK	30.33	30.33
92	Pittsburg State University	Gorilla Racing	OK	30.33	30.33
31	Milwaukee School of Engrg	MSOE Baja	OK	30.00	30.00
59	Alfred State College	Pioneer Racing	OK	30.00	30.00
76	The Ohio State University	Baja Buckeyes	OK	29.67	29.67
106	Alfred Univ	Saxon Racing	OK	29.67	29.67
55	Manipal University	Agni	OK	28.33	28.33
101	Université Laval	Alérion	OK	28.00	28.00
46	Georgia Institute of Technology	GT Off Road	OK	27.67	27.67
23	McMaster Univ	McMaster Baja Racing	OK	27.33	27.33
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	27.33	27.33
122	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	27.33	27.33
96	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	26.33	26.33
67	Ferris State University	Ferris State Baja Racing	OK	25.33	25.33
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	24.33	24.33
15	Old Dominion Univ	Whiskey Throttle Racing	OK	24.00	24.00
89	Clemson Univ	CUBaja Racing	OK	24.00	24.00
54	Montana Tech	MTBaja	OK	23.33	23.33
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	23.00	23.00
53	Univ of West Florida	UWF Argonauts	OK	22.33	22.33
74	Univ of Evansville	UE BAJA	OK	21.67	21.67
91	Middle Tennessee State Univ	MTSU motorsports	OK	21.67	21.67
30	Ryerson Univ	Ryerson Baja	OK	21.33	21.33
105	Northern Kentucky Univ	Norse Baja	OK	20.67	20.67
22	Purdue Univ - Northwest	PNW Motorsports	OK	20.00	20.00
73	Univ of Kansas - Lawrence	JMS Baja	OK	17.67	17.67
68	Kansas State Univ - Salina	Baja SAE Salina	OK	16.00	16.00
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	15.67	15.67
109	Kansas State Univ	Wildcat Offroad	OK	14.67	14.67
75	Christian Brothers Univ	Baja Blast	OK	10.33	10.33
47	Concordia University	Concordia Baja Racing	OK	0.00	0.00
56	Oklahoma Christian Univ	Rocky Road Racing	OK	0.00	0.00
72	Northern Michigan Univ	Wildcat Racing	OK	0.00	0.00
80	North Carolina State Univ - Raleigh	WM Racing	OK	0.00	0.00
84	Univ of Virginia	Virginia Motorsports	OK	0.00	0.00
97	New Mexico State Univ	NMSU Motorsports	OK	0.00	0.00
126	Murray State Univ	Murray	OK	0.00	0.00
