Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Cones
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	DQ	0.00000	0.00000	0
74	Univ of Evansville	UE BAJA	DQ	0.00000	0.00000	0
54	Montana Tech	MTBaja	DQ	0.00000	0.00000	0
40	Olin College of Engineering	Olin Baja	DQ	0.00000	0.00000	0
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	78.16800	78.16800	0
106	Alfred Univ	Saxon Racing	DQ	0.00000	0.00000	0
27	Virginia Tech	VT Baja	OK	57.47400	57.47400	0
41	Univ of Oklahoma	Sooner Off-Road	DQ	0.00000	0.00000	0
95	Youngstown State Univ	Penguin Powersports	OK	71.13300	69.13300	1
54	Montana Tech	MTBaja	DQ	0.00000	0.00000	0
56	Oklahoma Christian Univ	Rocky Road Racing	DQ	0.00000	0.00000	0
122	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	70.98700	70.98700	0
40	Olin College of Engineering	Olin Baja	DQ	0.00000	0.00000	0
51	Marquette Univ	Eagle Racing	OK	53.92400	53.92400	0
66	Queen's Univ	Queen's Baja	DQ	0.00000	0.00000	0
29	Texas A&M Univ	12th Man Racing	DQ	0.00000	0.00000	0
105	Northern Kentucky Univ	Norse Baja	OK	71.77500	71.77500	0
27	Virginia Tech	VT Baja	DQ	0.00000	0.00000	0
122	Univ of Arkansas - Fayetteville	Full Boar Racing	DQ	0.00000	0.00000	0
20	Rochester Institute of Technology	RIOT RACING	OK	44.33700	44.33700	0
15	Old Dominion Univ	Whiskey Throttle Racing	DQ	0.00000	0.00000	0
3	Georgia Southern Univ	Eagle Motorsports	DQ	0.00000	0.00000	0
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	80.07100	78.07100	1
15	Old Dominion Univ	Whiskey Throttle Racing	DQ	0.00000	0.00000	0
165	Escola de Engenharia de Sao Carlos	EESC USP	OK	49.07200	49.07200	0
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	45.95900	45.95900	0
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	DQ	0.00000	0.00000	0
165	Escola de Engenharia de Sao Carlos	EESC USP	OK	47.40900	47.40900	0
106	Alfred Univ	Saxon Racing	DQ	0.00000	0.00000	0
25	Univ of Calif - Los Angeles	Bruin Racing	OK	44.04400	44.04400	0
67	Ferris State University	Ferris State Baja Racing	DQ	0.00000	0.00000	0
67	Ferris State University	Ferris State Baja Racing	OK	71.12400	71.12400	0
23	McMaster Univ	McMaster Baja Racing	OK	60.23000	60.23000	0
84	Univ of Virginia	Virginia Motorsports	OK	54.23400	54.23400	0
84	Univ of Virginia	Virginia Motorsports	DQ	0.00000	0.00000	0
19	Wright State Univ	Raider Baja	DQ	0.00000	0.00000	0
96	Universidad Autonoma de Ciudad Juarez	Indios Racing	DQ	0.00000	0.00000	0
158	Universidade Federal De Minas Gerais	Baja UFMG	DQ	0.00000	0.00000	0
