Car Number	School Name	Team Name	Status	Time	Distance
85	Univ of Calif - Los Angeles	UCLA Racing	OK	58.99100	1080 Feet
12	Escola Politécnica da Universidade de São Paulo	POLI AUDAX	OK	61.98300	1080 Feet
53	Kansas State Univ	Wildcat Racing	OK	67.15100	1080 Feet
96	College of New Jersey	Motorlions	OK	0.00000	420 Feet
11	Universidade Federal de Pernambuco	Mangue Baja	OK	0.00000	1040 Feet
77	Auburn Univ	War Eagle Racing	OK	0.00000	1029 Feet
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	0.00000	300 Feet
92	Univ of Evansville	UE 2014	OK	0.00000	320 Feet
20	SUNY - Buffalo	UB Motorsports	OK	0.00000	896 Feet
15	Georgia Southern Univ	Eagle Motorsports	OK	67.55700	1080 Feet
99	Baylor Univ	Baylor Baja	OK	0.00000	300 Feet
79	Conestoga College	Conestoga Off-road Baja Racing Association	OK	0.00000	1033 Feet
26	Missouri University of Science and Tech	Miner Baja Racing	OK	0.00000	980 Feet
9	Rochester Institute of Technology	RIOT RACING	OK	55.41500	1080 Feet
21	Southern Alberta Inst of Tech	Statically Indeterminate Racing	OK	97.12800	1080 Feet
77	Auburn Univ	War Eagle Racing	OK	61.26900	1080 Feet
54	Univ of Colorado - Denver	The Missing Lynx	OK	0.00000	40 Feet
92	Univ of Evansville	UE 2014	OK	0.00000	300 Feet
72	North Carolina A & T State Univ	Aggie Racing	OK	0.00000	1040 Feet
18	Kansas State Univ - Salina	KSU Salina Baja	OK	0.00000	968 Feet
99	Baylor Univ	Baylor Baja	OK	0.00000	1026 Feet
79	Conestoga College	Conestoga Off-road Baja Racing Association	OK	73.77700	1080 Feet
26	Missouri University of Science and Tech	Miner Baja Racing	OK	0.00000	1035 Feet
20	SUNY - Buffalo	UB Motorsports	OK	0.00000	1035 Feet
68	New Mexico State Univ	NMSU Motorsports	OK	0.00000	902 Feet
34	Penn State Univ - Altoona	Penn State Altoona Motorsports	OK	0.00000	312 Feet
30	Virginia Western Comm Coll	VWCC Motorsports	OK	0.00000	1021 Feet
54	Univ of Colorado - Denver	The Missing Lynx	OK	0.00000	320 Feet
64	Oklahoma State Univ	OSU Cowboy Racing	OK	0.00000	1024 Feet
72	North Carolina A & T State Univ	Aggie Racing	OK	0.00000	230 Feet
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0.00000	1032 Feet
18	Kansas State Univ - Salina	KSU Salina Baja	OK	0.00000	1016 Feet
3	Northeastern Univ	Skunkworks	OK	0.00000	320 Feet
4	Ecole De Technologie Superieure	ETS Motorsports	OK	0.00000	307 Feet
52	Universite Laval	Alerion	OK	0.00000	309 Feet
43	Kettering Univ	Bulldog Racing	OK	0.00000	309 Feet
24	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	1023 Feet
2	Ohio Northern Univ	Polar Bear Racing	OK	66.46900	1080 Feet
65	Univ of Rochester	Yellowjackets	OK	0.00000	893 Feet
71	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	0.00000	1040 Feet
44	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	0.00000	896 Feet
19	Univ of Puerto Rico	RUM Racing Baja	OK	0.00000	310 Feet
1	Cornell Univ	BIG RED RACING	OK	61.33900	1080 Feet
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00000	1027 Feet
5	LeTourneau Univ	Renegade Racing	OK	0.00000	312 Feet
68	New Mexico State Univ	NMSU Motorsports	OK	0.00000	300 Feet
34	Penn State Univ - Altoona	Penn State Altoona Motorsports	OK	0.00000	400 Feet
13	Centro Universitario Da FEI	FEI BAJA SAE	OK	0.00000	300 Feet
59	Central Michigan Univ	Chippewa Performance	OK	0.00000	1024 Feet
45	Iowa State Univ	Cyclone Racing	OK	73.08600	1080 Feet
25	Florida Inst of Tech	FIt Baja	OK	0.00000	120 Feet
96	College of New Jersey	Motorlions	OK	0.00000	300 Feet
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	71.87900	1080 Feet
39	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	65.14000	1080 Feet
3	Northeastern Univ	Skunkworks	OK	0.00000	1027 Feet
80	Univ of Regina	Cougar Motorsports	OK	0.00000	897 Feet
6	Univ of Michigan - Ann Arbor	Maize	OK	0.00000	1020 Feet
43	Kettering Univ	Bulldog Racing	OK	0.00000	1020 Feet
52	Universite Laval	Alerion	OK	64.14900	1080 Feet
31	Pittsburg State University	Gorilla I (Dorothy)	OK	0.00000	300 Feet
33	Tennessee Tech Univ	TTU Baja SAE	OK	0.00000	1040 Feet
48	Montana State Univ - Bozeman	Bobcat Motorsports	OK	0.00000	220 Feet
4	Ecole De Technologie Superieure	ETS Motorsports	OK	62.74000	1080 Feet
35	Univ of Oklahoma	Sooner Off-Road	OK	0.00000	1040 Feet
1	Cornell Univ	BIG RED RACING	OK	56.93400	1080 Feet
23	McGill Univ	McGill Baja Racing	OK	0.00000	209 Feet
29	Clemson Univ	CUBaja Racing	OK	77.04500	1080 Feet
81	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	0.00000	1040 Feet
44	Univ of Illinois - Urbana Champaign	Off Road Illini	OK	0.00000	1040 Feet
5	LeTourneau Univ	Renegade Racing	OK	0.00000	889 Feet
78	Univ of British Columbia	UBC Baja SAE	OK	0.00000	300 Feet
59	Central Michigan Univ	Chippewa Performance	OK	0.00000	889 Feet
25	Florida Inst of Tech	FIt Baja	OK	0.00000	890 Feet
40	Universite Du Quebec at Rimouski	Nordic Wolf	OK	0.00000	1028 Feet
46	Fairmont State Univ	Falcon Racing	OK	0.00000	228 Feet
45	Iowa State Univ	Cyclone Racing	OK	0.00000	1029 Feet
9	Rochester Institute of Technology	RIOT RACING	OK	0.00000	890 Feet
90	Univ of Maryland - College Park	Black Team	OK	0.00000	1021 Feet
24	Univ of Nebraska - Lincoln	Husker Racing	OK	0.00000	300 Feet
31	Pittsburg State University	Gorilla I (Dorothy)	OK	0.00000	100 Feet
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	0.00000	300 Feet
89	Univ of Toronto	UofT BAJA Team	OK	0.00000	898 Feet
