Car Number	School Name	Team Name	Status	Time	Distance
45	Iowa State Univ	Cyclone Racing	OK	13.84000	100 Feet
43	Kettering Univ	Bulldog Racing	OK	0.00000	0 Feet
71	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	0.00000	0 Feet
89	Univ of Toronto	UofT BAJA Team	OK	0.00000	0 Feet
54	Univ of Colorado - Denver	The Missing Lynx	OK	17.53000	100 Feet
90	Univ of Maryland - College Park	Black Team	OK	12.88000	100 Feet
9	Rochester Institute of Technology	RIOT RACING	OK	0.00000	73 Feet
63	South Dakota Sch of Mines & Tech	Hardrocker Racing Blue	OK	15.65000	100 Feet
35	Univ of Oklahoma	Sooner Off-Road	OK	0.00000	3 Feet
69	Univ of Virginia	Virginia Baja	OK	0.00000	0 Feet
23	McGill Univ	McGill Baja Racing	OK	0.00000	0 Feet
33	Tennessee Tech Univ	TTU Baja SAE	OK	18.76000	100 Feet
69	Univ of Virginia	Virginia Baja	OK	0.00000	0 Feet
35	Univ of Oklahoma	Sooner Off-Road	OK	0.00000	47 Feet
88	Univ of Kentucky - Paducah	UK Paducah Baja	OK	0.00000	1 Feet
8	Univ of Louisville	Speed Motorsports	OK	24.25000	100 Feet
88	Univ of Kentucky - Paducah	UK Paducah Baja	OK	0.00000	0 Feet
41	Universidad Catolica Andres Bello	BajaUCAB	OK	0.00000	3 Feet
41	Universidad Catolica Andres Bello	BajaUCAB	OK	0.00000	2 Feet
40	Universite Du Quebec at Rimouski	Nordic Wolf	OK	0.00000	3 Feet
40	Universite Du Quebec at Rimouski	Nordic Wolf	OK	0.00000	3 Feet
87	Colorado School of Mines	Mines Baja Racing	OK	20.10000	100 Feet
34	Penn State Univ - Altoona	Penn State Altoona Motorsports	OK	0.00000	4 Feet
74	Univ of Akron	Zips Racing	OK	17.57000	100 Feet
96	College of New Jersey	Motorlions	OK	17.69000	100 Feet
10	Univ of Tennessee -Chattanooga	UTC Racing Mocs	OK	0.00000	3 Feet
80	Univ of Regina	Cougar Motorsports	OK	17.03000	100 Feet
6	Univ of Michigan - Ann Arbor	Maize	OK	21.75000	100 Feet
5	LeTourneau Univ	Renegade Racing	OK	14.19000	100 Feet
64	Oklahoma State Univ	OSU Cowboy Racing	OK	0.00000	2 Feet
32	Univ of New Orleans	UNO	OK	13.30000	100 Feet
95	Gyeongsang National Univ	Car-Tech	OK	27.88000	100 Feet
52	Universite Laval	Alerion	OK	0.00000	66 Feet
