Car Number	School Name	Team Name	Status	Report Score	Evaluation Score	Bonus Points	Penalty Points	Final Score
96	California State Univ - Fresno	Fresno State Bulldog Racing	OK	0.00	50.00	0.00	0.00	50.00
98	Gonzaga Universtity	Gonzaga	OK	0.00	40.00	0.00	0.00	40.00
97	Lovely Professional University	Illuminati Racers	OK	0.00	0.00	0.00	0.00	0.00
99	Idaho State University	Bengals Racing	OK	0.00	50.00	0.00	0.00	50.00
101	San Jose State University	Spartan Racing	OK	0.00	40.00	0.00	0.00	40.00
103	Manhattan College	Jasper Racing	OK	0.00	30.00	0.00	0.00	30.00
102	US Military Academy	West Point Mini Baja	OK	0.00	50.00	0.00	0.00	50.00
104	Boise State Univ	Boise State Motorsports	OK	0.00	0.00	0.00	0.00	0.00
105	West Virginia Univ	Mountaineers	OK	0.00	80.00	0.00	0.00	80.00
106	Northern Arizona Univ	NAU	OK	0.00	60.00	0.00	0.00	60.00
107	Univ of Texas - El Paso	Mad Pete Motorsports II	OK	0.00	30.00	0.00	0.00	30.00
108	New Mexico State Univ	NMSU Motorsports II	OK	0.00	60.00	0.00	0.00	60.00
109	Univ of Nebraska - Lincoln	Shake 'N' Bake Racing	OK	0.00	40.00	0.00	0.00	40.00
110	San Diego State Univ	SDSU Baja	OK	0.00	0.00	0.00	0.00	0.00
113	Universidad de Carabobo	Organizacion SAE UC Venezuela	OK	0.00	80.00	0.00	0.00	80.00
114	Olympic College	Olympic College Baja Extreme	OK	0.00	40.00	0.00	0.00	40.00
116	Univ of Science & Tech of Iran	sorena	OK	0.00	0.00	0.00	0.00	0.00
39	Arizona State Univ Polytechnic	SunDevil Racing Development	OK	0.00	90.00	0.00	0.00	90.00
