Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Bypass	Cones
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	118.90100	114.90100	0	2
71	Universite Du Quebec at Rimouski	Baja Nordic Wolf	DQ	0.00000	0.00000	0	0
60	Grove City College	Grove City Racing	DQ	0.00000	0.00000	0	0
60	Grove City College	Grove City Racing	DQ	0.00000	0.00000	0	0
72	National Institute of Tech - Jalandhar	Team Avishkar	DQ	0.00000	0.00000	0	0
72	National Institute of Tech - Jalandhar	Team Avishkar	OK	99.09000	75.09000	1	2
91	Univ of Southern Indiana	Screaming Eagles	DQ	0.00000	0.00000	0	0
91	Univ of Southern Indiana	Screaming Eagles	DQ	0.00000	0.00000	0	0
51	Univ of Notre Dame	Notre Dame Irish Racing	DQ	0.00000	0.00000	0	0
51	Univ of Notre Dame	Notre Dame Irish Racing	DQ	0.00000	0.00000	0	0
40	Vellore Institute of Technology Chennai	TSI	DQ	0.00000	0.00000	0	0
40	Vellore Institute of Technology Chennai	TSI	DQ	0.00000	0.00000	1	0
73	Ryerson Univ	Ryerson Baja	DQ	0.00000	0.00000	0	0
73	Ryerson Univ	Ryerson Baja	DQ	0.00000	0.00000	0	0
87	California State Univ - Long Beach	Long Beach Racing	DQ	0.00000	0.00000	0	0
87	California State Univ - Long Beach	Long Beach Racing	DQ	0.00000	0.00000	0	0
21	Oklahoma State Univ	Cowboy Racing	OK	110.98200	86.98200	1	2
