Car No.	School Name	Team Name	Status	Time
56	California State Poly Univ - Pomona	Bronco Racing	OK	5.56600
51	Univ of Notre Dame	Notre Dame Irish Racing	OK	4.67600
120	Kettering Univ	Bulldog Racing	OK	4.71600
73	Ryerson Univ	Ryerson Baja	OK	4.77800
73	Ryerson Univ	Ryerson Baja	OK	5.21800
87	California State Univ - Long Beach	Long Beach Racing	OK	5.67800
87	California State Univ - Long Beach	Long Beach Racing	OK	5.61900
41	Pimpri Chinchwad College of Engineering	Team Red Baron	OK	4.03400
96	Vellore Institute of Technology	KI Racing	OK	5.81000
42	Universite de Sherbrooke	Sherbrooke Racing Team	OK	6.39300
30	Univ of Regina	Cougar Racing	OK	4.64400
75	McGill Univ	McGill Baja Racing Team	OK	4.21300
91	Univ of Southern Indiana	Screaming Eagles	OK	5.33600
96	Vellore Institute of Technology	KI Racing	OK	5.99400
91	Univ of Southern Indiana	Screaming Eagles	OK	5.32200
42	Universite de Sherbrooke	Sherbrooke Racing Team	OK	6.22800
101	Sinhgad College of Engineering	Team Kraftwagen	OK	4.03300
120	Kettering Univ	Bulldog Racing	OK	4.39100
