Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Cones
69	Univ of Calif - Davis	Davis Racing - Baja	OK	90.00900	86.00900	2
9	Iowa State Univ	Cyclone Racing	DQ	0.00000	0.00000	0
21	Univ of Alaska - Anchorage	Seawolf Motorsports	OK	96.24000	96.24000	0
104	Univ of Memphis	Tiger Baja	DQ	0.00000	0.00000	0
35	Instituto Tecnologico de Queretaro	Baja SAE ITQ	OK	75.89500	75.89500	0
104	Univ of Memphis	Tiger Baja	OK	98.91900	96.91900	1
42	Northern Arizona Univ	NAU Lumberjack Racing	DQ	0.00000	0.00000	0
88	Interamerican Univ of Puerto Rico	Inter Baja Racing	OK	131.28200	127.28200	2
52	D Y Patil College Of Engineering, Akurdi	Team Predators	OK	74.52400	74.52400	0
31	Univ of Calif - Los Angeles	Bruin Racing	DQ	0.00000	0.00000	0
100	Univ of Puerto Rico-Mayaquez	RUM Racing Baja	OK	123.87200	115.87200	4
