Car No.	School Name	Team Name	Status	Report Score	Penalty Points	Final Score
40	California State Univ - Fullerton	Titan Racing Baja	OK	0.00	0.00	0.00
53	ITEMS Ciudad	Borregos Baja SAE CCM	OK	0.00	0.00	0.00
53	ITEMS Ciudad	Borregos Baja SAE CCM	OK	0.00	0.00	0.00
54	Seattle Pacific Univ	Falcon Racing	OK	9.00	40.00	0.00
56	California State Univ - Long Beach	Long Beach Racing	OK	10.00	50.00	0.00
56	California State Univ - Long Beach	Long Beach Racing	OK	10.00	50.00	0.00
58	Maharaja Agrasen Institute Of Tech	Team Jatayu	OK	2.00	10.00	0.00
58	Maharaja Agrasen Institute Of Tech	Team Jatayu	OK	2.00	10.00	0.00
59	Univ of Calif - Irvine	Anteater Racing	OK	0.00	0.00	0.00
59	Univ of Calif - Irvine	Anteater Racing	OK	0.00	0.00	0.00
76	ESIA Tlalnepantla	LEONES BLANCOS	OK	0.00	10.00	0.00
76	ESIA Tlalnepantla	LEONES BLANCOS	OK	0.00	10.00	0.00
85	California State Univ- Chico	Chico State Baja	OK	-1.00	0.00	0.00
85	California State Univ- Chico	Chico State Baja	OK	-1.00	0.00	0.00
90	Olympic College	Baja Extreme	OK	0.00	50.00	0.00
90	Olympic College	Baja Extreme	OK	0.00	50.00	0.00
104	Univ of Memphis	Tiger Baja	OK	6.00	50.00	0.00
104	Univ of Memphis	Tiger Baja	OK	6.00	50.00	0.00
133	New York Univ	NYU Tandon Motorsports	OK	5.00	20.00	0.00
133	New York Univ	NYU Tandon Motorsports	OK	5.00	20.00	0.00
134	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0.00	0.00	0.00
134	Southern Illinois Univ at Carbondale	SAE Saluki Baja	OK	0.00	0.00	0.00
144	Harbin Institute of Technology	CSG-HRT Baja	OK	4.00	20.00	0.00
144	Harbin Institute of Technology	CSG-HRT Baja	OK	4.00	20.00	0.00
153	Bradley Univ	Bradley Motorsports	OK	0.00	0.00	0.00
153	Bradley Univ	Bradley Motorsports	OK	0.00	0.00	0.00
